Question,Nationality,Gender,Rank,Percentage
They have/make a decent amount of money,French,Women,4,0.05
They have/make a decent amount of money,French,Women,5,0.19
They have/make a decent amount of money,French,Women,6,0.7
They have similar interests to me,French,Women,1,0.19
They have similar interests to me,French,Women,2,0.24
They have similar interests to me,French,Women,3,0.19
They have similar interests to me,French,Women,4,0.19
They have similar interests to me,French,Women,5,0.14
They have similar interests to me,French,Women,6,0.05
They are good looking,German,Men,1,0.17
They are good looking,German,Men,2,0.17
They are good looking,German,Men,3,0.14
They are good looking,German,Men,4,0.16
They are good looking,German,Men,5,0.26
They are good looking,German,Men,6,0.1
They have a personality I like,German,Men,1,0.51
They have a personality I like,German,Men,2,0.19
They have a personality I like,German,Men,3,0.13
They have a personality I like,German,Men,4,0.09
They have a personality I like,German,Men,5,0.06
They have a personality I like,German,Men,6,0.03
They have a sense of humour I like,German,Men,1,0.11
They have a sense of humour I like,German,Men,2,0.25
They have a sense of humour I like,German,Men,3,0.27
They have a sense of humour I like,German,Men,4,0.2
They have a sense of humour I like,German,Men,5,0.13
They have a sense of humour I like,German,Men,6,0.04
They are intelligent,German,Men,1,0.08
They are intelligent,German,Men,2,0.17
They are intelligent,German,Men,3,0.24
They are intelligent,German,Men,4,0.26
They are intelligent,German,Men,5,0.2
They are intelligent,German,Men,6,0.05
They have/make a decent amount of money,German,Men,1,0.02
They have/make a decent amount of money,German,Men,2,0.03
They have/make a decent amount of money,German,Men,3,0.04
They have/make a decent amount of money,German,Men,4,0.06
They have/make a decent amount of money,German,Men,5,0.15
They have/make a decent amount of money,German,Men,6,0.7
They have similar interests to me,German,Men,1,0.12
They have similar interests to me,German,Men,2,0.18
They have similar interests to me,German,Men,3,0.18
They have similar interests to me,German,Men,4,0.23
They have similar interests to me,German,Men,5,0.21
They have similar interests to me,German,Men,6,0.08
They are good looking,German,Women,1,0.07
They are good looking,German,Women,2,0.07
They are good looking,German,Women,3,0.09
They are good looking,German,Women,4,0.17
They are good looking,German,Women,5,0.35
They are good looking,German,Women,6,0.24
They have a personality I like,German,Women,1,0.56
They have a personality I like,German,Women,2,0.21
They have a personality I like,German,Women,3,0.11
They have a personality I like,German,Women,4,0.07
They have a personality I like,German,Women,5,0.04
They have a personality I like,German,Women,6,0.02
They have a sense of humour I like,German,Women,1,0.17
They have a sense of humour I like,German,Women,2,0.32
They have a sense of humour I like,German,Women,3,0.26
They have a sense of humour I like,German,Women,4,0.13
They have a sense of humour I like,German,Women,5,0.08
They have a sense of humour I like,German,Women,6,0.05
They are intelligent,German,Women,1,0.07
They are intelligent,German,Women,2,0.19
They are intelligent,German,Women,3,0.23
They are intelligent,German,Women,4,0.31
They are intelligent,German,Women,5,0.14
They are intelligent,German,Women,6,0.05
They have/make a decent amount of money,German,Women,1,0.01
They have/make a decent amount of money,German,Women,2,0.03
They have/make a decent amount of money,German,Women,3,0.07
They have/make a decent amount of money,German,Women,4,0.1
They have/make a decent amount of money,German,Women,5,0.25
They have/make a decent amount of money,German,Women,6,0.55
They have similar interests to me,German,Women,1,0.13
They have similar interests to me,German,Women,2,0.19
They have similar interests to me,German,Women,3,0.24
They have similar interests to me,German,Women,4,0.22
They have similar interests to me,German,Women,5,0.14
They have similar interests to me,German,Women,6,0.09
They are good looking,Hong Kong,Men,1,0.33
They are good looking,Hong Kong,Men,2,0.21
They are good looking,Hong Kong,Men,3,0.17
They are good looking,Hong Kong,Men,4,0.14
They are good looking,Hong Kong,Men,5,0.08
They are good looking,Hong Kong,Men,6,0.07
They have a personality I like,Hong Kong,Men,1,0.45
They have a personality I like,Hong Kong,Men,2,0.26
They have a personality I like,Hong Kong,Men,3,0.12
They have a personality I like,Hong Kong,Men,4,0.07
They have a personality I like,Hong Kong,Men,5,0.06
They have a personality I like,Hong Kong,Men,6,0.04
They have a sense of humour I like,Hong Kong,Men,1,0.06
They have a sense of humour I like,Hong Kong,Men,2,0.14
They have a sense of humour I like,Hong Kong,Men,3,0.21
They have a sense of humour I like,Hong Kong,Men,4,0.23
They have a sense of humour I like,Hong Kong,Men,5,0.25
They have a sense of humour I like,Hong Kong,Men,6,0.11
They are intelligent,Hong Kong,Men,1,0.06
They are intelligent,Hong Kong,Men,2,0.13
They are intelligent,Hong Kong,Men,3,0.2
They are intelligent,Hong Kong,Men,4,0.26
They are intelligent,Hong Kong,Men,5,0.24
They are intelligent,Hong Kong,Men,6,0.12
They have/make a decent amount of money,Hong Kong,Men,1,0.03
They have/make a decent amount of money,Hong Kong,Men,2,0.05
They have/make a decent amount of money,Hong Kong,Men,3,0.08
They have/make a decent amount of money,Hong Kong,Men,4,0.1
They have/make a decent amount of money,Hong Kong,Men,5,0.18
They have/make a decent amount of money,Hong Kong,Men,6,0.56
They have similar interests to me,Hong Kong,Men,1,0.07
They have similar interests to me,Hong Kong,Men,2,0.22
They have similar interests to me,Hong Kong,Men,3,0.22
They have similar interests to me,Hong Kong,Men,4,0.2
They have similar interests to me,Hong Kong,Men,5,0.19
They have similar interests to me,Hong Kong,Men,6,0.11
They are good looking,Hong Kong,Women,1,0.19
They are good looking,Hong Kong,Women,2,0.11
They are good looking,Hong Kong,Women,3,0.17
They are good looking,Hong Kong,Women,4,0.17
They are good looking,Hong Kong,Women,5,0.21
They are good looking,Hong Kong,Women,6,0.17
They have a personality I like,Hong Kong,Women,1,0.53
They have a personality I like,Hong Kong,Women,2,0.23
They have a personality I like,Hong Kong,Women,3,0.1
They have a personality I like,Hong Kong,Women,4,0.06
They have a personality I like,Hong Kong,Women,5,0.04
They have a personality I like,Hong Kong,Women,6,0.04
They have a sense of humour I like,Hong Kong,Women,1,0.09
They have a sense of humour I like,Hong Kong,Women,2,0.22
They have a sense of humour I like,Hong Kong,Women,3,0.25
They have a sense of humour I like,Hong Kong,Women,4,0.19
They have a sense of humour I like,Hong Kong,Women,5,0.16
They have a sense of humour I like,Hong Kong,Women,6,0.09
They are intelligent,Hong Kong,Women,1,0.08
They are intelligent,Hong Kong,Women,2,0.14
They are intelligent,Hong Kong,Women,3,0.19
They are intelligent,Hong Kong,Women,4,0.27
They are intelligent,Hong Kong,Women,5,0.19
They are intelligent,Hong Kong,Women,6,0.12
They have/make a decent amount of money,Hong Kong,Women,1,0.03
They have/make a decent amount of money,Hong Kong,Women,2,0.05
They have/make a decent amount of money,Hong Kong,Women,3,0.09
They have/make a decent amount of money,Hong Kong,Women,4,0.15
They have/make a decent amount of money,Hong Kong,Women,5,0.26
They have/make a decent amount of money,Hong Kong,Women,6,0.42
They have similar interests to me,Hong Kong,Women,1,0.09
They have similar interests to me,Hong Kong,Women,2,0.25
They have similar interests to me,Hong Kong,Women,3,0.2
They have similar interests to me,Hong Kong,Women,4,0.16
They have similar interests to me,Hong Kong,Women,5,0.14
They have similar interests to me,Hong Kong,Women,6,0.16
They are good looking,Indian,Men,1,0.17
They are good looking,Indian,Men,2,0.16
They are good looking,Indian,Men,3,0.17
They are good looking,Indian,Men,4,0.15
They are good looking,Indian,Men,5,0.25
They are good looking,Indian,Men,6,0.1
They have a personality I like,Indian,Men,1,0.22
They have a personality I like,Indian,Men,2,0.19
They have a personality I like,Indian,Men,3,0.21
They have a personality I like,Indian,Men,4,0.18
They have a personality I like,Indian,Men,5,0.13
They have a personality I like,Indian,Men,6,0.08
They have a sense of humour I like,Indian,Men,1,0.19
They have a sense of humour I like,Indian,Men,2,0.19
They have a sense of humour I like,Indian,Men,3,0.2
They have a sense of humour I like,Indian,Men,4,0.16
They have a sense of humour I like,Indian,Men,5,0.18
They have a sense of humour I like,Indian,Men,6,0.07
They are intelligent,Indian,Men,1,0.15
They are intelligent,Indian,Men,2,0.22
They are intelligent,Indian,Men,3,0.2
They are intelligent,Indian,Men,4,0.22
They are intelligent,Indian,Men,5,0.13
They are intelligent,Indian,Men,6,0.07
They have/make a decent amount of money,Indian,Men,1,0.03
They have/make a decent amount of money,Indian,Men,2,0.03
They have/make a decent amount of money,Indian,Men,3,0.07
They have/make a decent amount of money,Indian,Men,4,0.09
They have/make a decent amount of money,Indian,Men,5,0.16
They have/make a decent amount of money,Indian,Men,6,0.62
They have similar interests to me,Indian,Men,1,0.23
They have similar interests to me,Indian,Men,2,0.2
They have similar interests to me,Indian,Men,3,0.16
They have similar interests to me,Indian,Men,4,0.2
They have similar interests to me,Indian,Men,5,0.15
They have similar interests to me,Indian,Men,6,0.06
They are good looking,Indian,Women,1,0.06
They are good looking,Indian,Women,2,0.11
They are good looking,Indian,Women,3,0.12
They are good looking,Indian,Women,4,0.16
They are good looking,Indian,Women,5,0.27
They are good looking,Indian,Women,6,0.28
They have a personality I like,Indian,Women,1,0.28
They have a personality I like,Indian,Women,2,0.18
They have a personality I like,Indian,Women,3,0.18
They have a personality I like,Indian,Women,4,0.17
They have a personality I like,Indian,Women,5,0.12
They have a personality I like,Indian,Women,6,0.06
They have a sense of humour I like,Indian,Women,1,0.19
They have a sense of humour I like,Indian,Women,2,0.22
They have a sense of humour I like,Indian,Women,3,0.2
They have a sense of humour I like,Indian,Women,4,0.16
They have a sense of humour I like,Indian,Women,5,0.14
They have a sense of humour I like,Indian,Women,6,0.1
They are intelligent,Indian,Women,1,0.22
They are intelligent,Indian,Women,2,0.23
They are intelligent,Indian,Women,3,0.23
They are intelligent,Indian,Women,4,0.17
They are intelligent,Indian,Women,5,0.1
They are intelligent,Indian,Women,6,0.04
They have/make a decent amount of money,Indian,Women,1,0.04
They have/make a decent amount of money,Indian,Women,2,0.09
They have/make a decent amount of money,Indian,Women,3,0.09
They have/make a decent amount of money,Indian,Women,4,0.16
They have/make a decent amount of money,Indian,Women,5,0.23
They have/make a decent amount of money,Indian,Women,6,0.39
They have similar interests to me,Indian,Women,1,0.2
They have similar interests to me,Indian,Women,2,0.18
They have similar interests to me,Indian,Women,3,0.18
They have similar interests to me,Indian,Women,4,0.17
They have similar interests to me,Indian,Women,5,0.14
They have similar interests to me,Indian,Women,6,0.13
They are good looking,Indonesian,Men,1,0.35
They are good looking,Indonesian,Men,2,0.19
They are good looking,Indonesian,Men,3,0.2
They are good looking,Indonesian,Men,4,0.11
They are good looking,Indonesian,Men,5,0.11
They are good looking,Indonesian,Men,6,0.05
They have a personality I like,Indonesian,Men,1,0.35
They have a personality I like,Indonesian,Men,2,0.26
They have a personality I like,Indonesian,Men,3,0.15
They have a personality I like,Indonesian,Men,4,0.12
They have a personality I like,Indonesian,Men,5,0.08
They have a personality I like,Indonesian,Men,6,0.04
They have a sense of humour I like,Indonesian,Men,1,0.08
They have a sense of humour I like,Indonesian,Men,2,0.16
They have a sense of humour I like,Indonesian,Men,3,0.18
They have a sense of humour I like,Indonesian,Men,4,0.32
They have a sense of humour I like,Indonesian,Men,5,0.19
They have a sense of humour I like,Indonesian,Men,6,0.07
They are intelligent,Indonesian,Men,1,0.15
They are intelligent,Indonesian,Men,2,0.26
They are intelligent,Indonesian,Men,3,0.26
They are intelligent,Indonesian,Men,4,0.2
They are intelligent,Indonesian,Men,5,0.09
They are intelligent,Indonesian,Men,6,0.03
They have/make a decent amount of money,Indonesian,Men,1,0.03
They have/make a decent amount of money,Indonesian,Men,2,0.03
They have/make a decent amount of money,Indonesian,Men,3,0.06
They have/make a decent amount of money,Indonesian,Men,4,0.09
They have/make a decent amount of money,Indonesian,Men,5,0.16
They have/make a decent amount of money,Indonesian,Men,6,0.64
They have similar interests to me,Indonesian,Men,1,0.05
They have similar interests to me,Indonesian,Men,2,0.1
They have similar interests to me,Indonesian,Men,3,0.15
They have similar interests to me,Indonesian,Men,4,0.17
They have similar interests to me,Indonesian,Men,5,0.36
They have similar interests to me,Indonesian,Men,6,0.17
They are good looking,Indonesian,Women,1,0.18
They are good looking,Indonesian,Women,2,0.12
They are good looking,Indonesian,Women,3,0.14
They are good looking,Indonesian,Women,4,0.18
They are good looking,Indonesian,Women,5,0.22
They are good looking,Indonesian,Women,6,0.17
They have a personality I like,Indonesian,Women,1,0.46
They have a personality I like,Indonesian,Women,2,0.2
They have a personality I like,Indonesian,Women,3,0.12
They have a personality I like,Indonesian,Women,4,0.1
They have a personality I like,Indonesian,Women,5,0.08
They have a personality I like,Indonesian,Women,6,0.04
They have a sense of humour I like,Indonesian,Women,1,0.09
They have a sense of humour I like,Indonesian,Women,2,0.22
They have a sense of humour I like,Indonesian,Women,3,0.2
They have a sense of humour I like,Indonesian,Women,4,0.17
They have a sense of humour I like,Indonesian,Women,5,0.19
They have a sense of humour I like,Indonesian,Women,6,0.14
They are intelligent,Indonesian,Women,1,0.18
They are intelligent,Indonesian,Women,2,0.26
They are intelligent,Indonesian,Women,3,0.27
They are intelligent,Indonesian,Women,4,0.16
They are intelligent,Indonesian,Women,5,0.08
They are intelligent,Indonesian,Women,6,0.05
They have/make a decent amount of money,Indonesian,Women,1,0.05
They have/make a decent amount of money,Indonesian,Women,2,0.1
They have/make a decent amount of money,Indonesian,Women,3,0.14
They have/make a decent amount of money,Indonesian,Women,4,0.19
They have/make a decent amount of money,Indonesian,Women,5,0.23
They have/make a decent amount of money,Indonesian,Women,6,0.28
They have similar interests to me,Indonesian,Women,1,0.03
They have similar interests to me,Indonesian,Women,2,0.11
They have similar interests to me,Indonesian,Women,3,0.12
They have similar interests to me,Indonesian,Women,4,0.2
They have similar interests to me,Indonesian,Women,5,0.22
They have similar interests to me,Indonesian,Women,6,0.32
They are good looking,Malaysian,Men,1,0.24
They are good looking,Malaysian,Men,2,0.15
They are good looking,Malaysian,Men,3,0.15
They are good looking,Malaysian,Men,4,0.16
They are good looking,Malaysian,Men,5,0.18
They are good looking,Malaysian,Men,6,0.13
They have a personality I like,Malaysian,Men,1,0.42
They have a personality I like,Malaysian,Men,2,0.23
They have a personality I like,Malaysian,Men,3,0.14
They have a personality I like,Malaysian,Men,4,0.1
They have a personality I like,Malaysian,Men,5,0.06
They have a personality I like,Malaysian,Men,6,0.05
They have a sense of humour I like,Malaysian,Men,1,0.08
They have a sense of humour I like,Malaysian,Men,2,0.21
They have a sense of humour I like,Malaysian,Men,3,0.21
They have a sense of humour I like,Malaysian,Men,4,0.2
They have a sense of humour I like,Malaysian,Men,5,0.18
They have a sense of humour I like,Malaysian,Men,6,0.12
They are intelligent,Malaysian,Men,1,0.11
They are intelligent,Malaysian,Men,2,0.16
They are intelligent,Malaysian,Men,3,0.26
They are intelligent,Malaysian,Men,4,0.24
They are intelligent,Malaysian,Men,5,0.18
They are intelligent,Malaysian,Men,6,0.05
They have/make a decent amount of money,Malaysian,Men,1,0.03
They have/make a decent amount of money,Malaysian,Men,2,0.07
They have/make a decent amount of money,Malaysian,Men,3,0.09
They have/make a decent amount of money,Malaysian,Men,4,0.12
They have/make a decent amount of money,Malaysian,Men,5,0.16
They have/make a decent amount of money,Malaysian,Men,6,0.52
They have similar interests to me,Malaysian,Men,1,0.11
They have similar interests to me,Malaysian,Men,2,0.18
They have similar interests to me,Malaysian,Men,3,0.15
They have similar interests to me,Malaysian,Men,4,0.18
They have similar interests to me,Malaysian,Men,5,0.24
They have similar interests to me,Malaysian,Men,6,0.13
They are good looking,Malaysian,Women,1,0.09
They are good looking,Malaysian,Women,2,0.08
They are good looking,Malaysian,Women,3,0.11
They are good looking,Malaysian,Women,4,0.14
They are good looking,Malaysian,Women,5,0.2
They are good looking,Malaysian,Women,6,0.38
They have a personality I like,Malaysian,Women,1,0.47
They have a personality I like,Malaysian,Women,2,0.23
They have a personality I like,Malaysian,Women,3,0.13
They have a personality I like,Malaysian,Women,4,0.09
They have a personality I like,Malaysian,Women,5,0.05
They have a personality I like,Malaysian,Women,6,0.03
They have a sense of humour I like,Malaysian,Women,1,0.14
They have a sense of humour I like,Malaysian,Women,2,0.21
They have a sense of humour I like,Malaysian,Women,3,0.21
They have a sense of humour I like,Malaysian,Women,4,0.2
They have a sense of humour I like,Malaysian,Women,5,0.12
They have a sense of humour I like,Malaysian,Women,6,0.11
They are intelligent,Malaysian,Women,1,0.13
They are intelligent,Malaysian,Women,2,0.2
They are intelligent,Malaysian,Women,3,0.22
They are intelligent,Malaysian,Women,4,0.22
They are intelligent,Malaysian,Women,5,0.17
They are intelligent,Malaysian,Women,6,0.06
They have/make a decent amount of money,Malaysian,Women,1,0.09
They have/make a decent amount of money,Malaysian,Women,2,0.13
They have/make a decent amount of money,Malaysian,Women,3,0.14
They have/make a decent amount of money,Malaysian,Women,4,0.18
They have/make a decent amount of money,Malaysian,Women,5,0.25
They have/make a decent amount of money,Malaysian,Women,6,0.21
They have similar interests to me,Malaysian,Women,1,0.08
They have similar interests to me,Malaysian,Women,2,0.15
They have similar interests to me,Malaysian,Women,3,0.19
They have similar interests to me,Malaysian,Women,4,0.17
They have similar interests to me,Malaysian,Women,5,0.2
They have similar interests to me,Malaysian,Women,6,0.22
They are good looking,Norwegian,Men,1,0.14
They are good looking,Norwegian,Men,2,0.16
They are good looking,Norwegian,Men,3,0.21
They are good looking,Norwegian,Men,4,0.19
They are good looking,Norwegian,Men,5,0.24
They are good looking,Norwegian,Men,6,0.05
They have a personality I like,Norwegian,Men,1,0.65
They have a personality I like,Norwegian,Men,2,0.17
They have a personality I like,Norwegian,Men,3,0.06
They have a personality I like,Norwegian,Men,4,0.06
They have a personality I like,Norwegian,Men,5,0.02
They have a personality I like,Norwegian,Men,6,0.03
They have a sense of humour I like,Norwegian,Men,1,0.05
They have a sense of humour I like,Norwegian,Men,2,0.28
They have a sense of humour I like,Norwegian,Men,3,0.3
They have a sense of humour I like,Norwegian,Men,4,0.18
They have a sense of humour I like,Norwegian,Men,5,0.17
They have a sense of humour I like,Norwegian,Men,6,0.01
They are intelligent,Norwegian,Men,1,0.06
They are intelligent,Norwegian,Men,2,0.15
They are intelligent,Norwegian,Men,3,0.23
They are intelligent,Norwegian,Men,4,0.27
They are intelligent,Norwegian,Men,5,0.24
They are intelligent,Norwegian,Men,6,0.04
They have/make a decent amount of money,Norwegian,Men,1,0.01
They have/make a decent amount of money,Norwegian,Men,2,0.01
They have/make a decent amount of money,Norwegian,Men,3,0.03
They have/make a decent amount of money,Norwegian,Men,4,0.05
They have/make a decent amount of money,Norwegian,Men,5,0.11
They have/make a decent amount of money,Norwegian,Men,6,0.79
They have similar interests to me,Norwegian,Men,1,0.08
They have similar interests to me,Norwegian,Men,2,0.22
They have similar interests to me,Norwegian,Men,3,0.17
They have similar interests to me,Norwegian,Men,4,0.24
They have similar interests to me,Norwegian,Men,5,0.21
They have similar interests to me,Norwegian,Men,6,0.07
They are good looking,Norwegian,Women,1,0.05
They are good looking,Norwegian,Women,2,0.09
They are good looking,Norwegian,Women,3,0.1
They are good looking,Norwegian,Women,4,0.22
They are good looking,Norwegian,Women,5,0.37
They are good looking,Norwegian,Women,6,0.17
They have a personality I like,Norwegian,Women,1,0.66
They have a personality I like,Norwegian,Women,2,0.2
They have a personality I like,Norwegian,Women,3,0.07
They have a personality I like,Norwegian,Women,4,0.05
They have a personality I like,Norwegian,Women,5,0.01
They have a personality I like,Norwegian,Women,6,0.01
They have a sense of humour I like,Norwegian,Women,1,0.14
They have a sense of humour I like,Norwegian,Women,2,0.34
They have a sense of humour I like,Norwegian,Women,3,0.29
They have a sense of humour I like,Norwegian,Women,4,0.12
They have a sense of humour I like,Norwegian,Women,5,0.08
They have a sense of humour I like,Norwegian,Women,6,0.03
They are intelligent,Norwegian,Women,1,0.05
They are intelligent,Norwegian,Women,2,0.16
They are intelligent,Norwegian,Women,3,0.25
They are intelligent,Norwegian,Women,4,0.34
They are intelligent,Norwegian,Women,5,0.17
They are intelligent,Norwegian,Women,6,0.03
They have/make a decent amount of money,Norwegian,Women,1,0.01
They have/make a decent amount of money,Norwegian,Women,2,0.01
They have/make a decent amount of money,Norwegian,Women,3,0.04
They have/make a decent amount of money,Norwegian,Women,4,0.05
They have/make a decent amount of money,Norwegian,Women,5,0.2
They have/make a decent amount of money,Norwegian,Women,6,0.69
They have similar interests to me,Norwegian,Women,1,0.1
They have similar interests to me,Norwegian,Women,2,0.21
They have similar interests to me,Norwegian,Women,3,0.25
They have similar interests to me,Norwegian,Women,4,0.21
They have similar interests to me,Norwegian,Women,5,0.16
They have similar interests to me,Norwegian,Women,6,0.07
They are good looking,Singaporean,Men,1,0.2
They are good looking,Singaporean,Men,2,0.18
They are good looking,Singaporean,Men,3,0.16
They are good looking,Singaporean,Men,4,0.17
They are good looking,Singaporean,Men,5,0.2
They are good looking,Singaporean,Men,6,0.08
They have a personality I like,Singaporean,Men,1,0.49
They have a personality I like,Singaporean,Men,2,0.23
They have a personality I like,Singaporean,Men,3,0.14
They have a personality I like,Singaporean,Men,4,0.07
They have a personality I like,Singaporean,Men,5,0.04
They have a personality I like,Singaporean,Men,6,0.03
They have a sense of humour I like,Singaporean,Men,1,0.08
They have a sense of humour I like,Singaporean,Men,2,0.19
They have a sense of humour I like,Singaporean,Men,3,0.24
They have a sense of humour I like,Singaporean,Men,4,0.23
They have a sense of humour I like,Singaporean,Men,5,0.17
They have a sense of humour I like,Singaporean,Men,6,0.09
They are intelligent,Singaporean,Men,1,0.09
They are intelligent,Singaporean,Men,2,0.13
They are intelligent,Singaporean,Men,3,0.24
They are intelligent,Singaporean,Men,4,0.24
They are intelligent,Singaporean,Men,5,0.24
They are intelligent,Singaporean,Men,6,0.06
They have/make a decent amount of money,Singaporean,Men,1,0.02
They have/make a decent amount of money,Singaporean,Men,2,0.04
They have/make a decent amount of money,Singaporean,Men,3,0.07
They have/make a decent amount of money,Singaporean,Men,4,0.09
They have/make a decent amount of money,Singaporean,Men,5,0.17
They have/make a decent amount of money,Singaporean,Men,6,0.61
They have similar interests to me,Singaporean,Men,1,0.11
They have similar interests to me,Singaporean,Men,2,0.23
They have similar interests to me,Singaporean,Men,3,0.14
They have similar interests to me,Singaporean,Men,4,0.21
They have similar interests to me,Singaporean,Men,5,0.19
They have similar interests to me,Singaporean,Men,6,0.12
They are good looking,Singaporean,Women,1,0.09
They are good looking,Singaporean,Women,2,0.06
They are good looking,Singaporean,Women,3,0.09
They are good looking,Singaporean,Women,4,0.14
They are good looking,Singaporean,Women,5,0.23
They are good looking,Singaporean,Women,6,0.4
They have a personality I like,Singaporean,Women,1,0.5
They have a personality I like,Singaporean,Women,2,0.21
They have a personality I like,Singaporean,Women,3,0.13
They have a personality I like,Singaporean,Women,4,0.09
They have a personality I like,Singaporean,Women,5,0.04
They have a personality I like,Singaporean,Women,6,0.03
They have a sense of humour I like,Singaporean,Women,1,0.16
They have a sense of humour I like,Singaporean,Women,2,0.28
They have a sense of humour I like,Singaporean,Women,3,0.23
They have a sense of humour I like,Singaporean,Women,4,0.16
They have a sense of humour I like,Singaporean,Women,5,0.1
They have a sense of humour I like,Singaporean,Women,6,0.07
They are intelligent,Singaporean,Women,1,0.12
They are intelligent,Singaporean,Women,2,0.16
They are intelligent,Singaporean,Women,3,0.21
They are intelligent,Singaporean,Women,4,0.26
They are intelligent,Singaporean,Women,5,0.19
They are intelligent,Singaporean,Women,6,0.08
They have/make a decent amount of money,Singaporean,Women,1,0.03
They have/make a decent amount of money,Singaporean,Women,2,0.07
They have/make a decent amount of money,Singaporean,Women,3,0.13
They have/make a decent amount of money,Singaporean,Women,4,0.16
They have/make a decent amount of money,Singaporean,Women,5,0.3
They have/make a decent amount of money,Singaporean,Women,6,0.3
They have similar interests to me,Singaporean,Women,1,0.1
They have similar interests to me,Singaporean,Women,2,0.23
They have similar interests to me,Singaporean,Women,3,0.22
They have similar interests to me,Singaporean,Women,4,0.19
They have similar interests to me,Singaporean,Women,5,0.14
They have similar interests to me,Singaporean,Women,6,0.13
They are good looking,Swedish,Men,1,0.14
They are good looking,Swedish,Men,2,0.12
They are good looking,Swedish,Men,3,0.23
They are good looking,Swedish,Men,4,0.18
They are good looking,Swedish,Men,5,0.27
They are good looking,Swedish,Men,6,0.04
They have a personality I like,Swedish,Men,1,0.62
They have a personality I like,Swedish,Men,2,0.2
They have a personality I like,Swedish,Men,3,0.07
They have a personality I like,Swedish,Men,4,0.05
They have a personality I like,Swedish,Men,5,0.04
They have a personality I like,Swedish,Men,6,0.03
They have a sense of humour I like,Swedish,Men,1,0.09
They have a sense of humour I like,Swedish,Men,2,0.29
They have a sense of humour I like,Swedish,Men,3,0.25
They have a sense of humour I like,Swedish,Men,4,0.22
They have a sense of humour I like,Swedish,Men,5,0.11
They have a sense of humour I like,Swedish,Men,6,0.04
They are intelligent,Swedish,Men,1,0.08
They are intelligent,Swedish,Men,2,0.21
They are intelligent,Swedish,Men,3,0.23
They are intelligent,Swedish,Men,4,0.27
They are intelligent,Swedish,Men,5,0.17
They are intelligent,Swedish,Men,6,0.05
They have/make a decent amount of money,Swedish,Men,1,0
They have/make a decent amount of money,Swedish,Men,2,0.01
They have/make a decent amount of money,Swedish,Men,3,0.05
They have/make a decent amount of money,Swedish,Men,4,0.04
They have/make a decent amount of money,Swedish,Men,5,0.12
They have/make a decent amount of money,Swedish,Men,6,0.77
They have similar interests to me,Swedish,Men,1,0.08
They have similar interests to me,Swedish,Men,2,0.16
They have similar interests to me,Swedish,Men,3,0.18
They have similar interests to me,Swedish,Men,4,0.23
They have similar interests to me,Swedish,Men,5,0.29
They have similar interests to me,Swedish,Men,6,0.06
They are good looking,Swedish,Women,1,0.05
They are good looking,Swedish,Women,2,0.1
They are good looking,Swedish,Women,3,0.11
They are good looking,Swedish,Women,4,0.21
They are good looking,Swedish,Women,5,0.4
They are good looking,Swedish,Women,6,0.13
They have a personality I like,Swedish,Women,1,0.73
They have a personality I like,Swedish,Women,2,0.13
They have a personality I like,Swedish,Women,3,0.07
They have a personality I like,Swedish,Women,4,0.05
They have a personality I like,Swedish,Women,5,0.02
They have a personality I like,Swedish,Women,6,0.01
They have a sense of humour I like,Swedish,Women,1,0.08
They have a sense of humour I like,Swedish,Women,2,0.37
They have a sense of humour I like,Swedish,Women,3,0.26
They have a sense of humour I like,Swedish,Women,4,0.19
They have a sense of humour I like,Swedish,Women,5,0.07
They have a sense of humour I like,Swedish,Women,6,0.03
They are intelligent,Swedish,Women,1,0.07
They are intelligent,Swedish,Women,2,0.18
They are intelligent,Swedish,Women,3,0.28
They are intelligent,Swedish,Women,4,0.28
They are intelligent,Swedish,Women,5,0.17
They are intelligent,Swedish,Women,6,0.02
They have/make a decent amount of money,Swedish,Women,1,0
They have/make a decent amount of money,Swedish,Women,2,0.01
They have/make a decent amount of money,Swedish,Women,3,0.02
They have/make a decent amount of money,Swedish,Women,4,0.05
They have/make a decent amount of money,Swedish,Women,5,0.16
They have/make a decent amount of money,Swedish,Women,6,0.76
They have similar interests to me,Swedish,Women,1,0.08
They have similar interests to me,Swedish,Women,2,0.22
They have similar interests to me,Swedish,Women,3,0.26
They have similar interests to me,Swedish,Women,4,0.22
They have similar interests to me,Swedish,Women,5,0.18
They have similar interests to me,Swedish,Women,6,0.05
They are good looking,Thai,Men,1,0.33
They are good looking,Thai,Men,2,0.2
They are good looking,Thai,Men,3,0.2
They are good looking,Thai,Men,4,0.15
They are good looking,Thai,Men,5,0.08
They are good looking,Thai,Men,6,0.05
They have a personality I like,Thai,Men,1,0.34
They have a personality I like,Thai,Men,2,0.26
They have a personality I like,Thai,Men,3,0.15
They have a personality I like,Thai,Men,4,0.13
They have a personality I like,Thai,Men,5,0.07
They have a personality I like,Thai,Men,6,0.04
They have a sense of humour I like,Thai,Men,1,0.12
They have a sense of humour I like,Thai,Men,2,0.22
They have a sense of humour I like,Thai,Men,3,0.24
They have a sense of humour I like,Thai,Men,4,0.22
They have a sense of humour I like,Thai,Men,5,0.11
They have a sense of humour I like,Thai,Men,6,0.1
They are intelligent,Thai,Men,1,0.12
They are intelligent,Thai,Men,2,0.22
They are intelligent,Thai,Men,3,0.28
They are intelligent,Thai,Men,4,0.25
They are intelligent,Thai,Men,5,0.08
