Question,Nationality,Gender,Rank,Percentage
They have/make a decent amount of money,Arabian,Women,6,0.37
They have similar interests to me,Arabian,Women,1,0.19
They have similar interests to me,Arabian,Women,2,0.21
They have similar interests to me,Arabian,Women,3,0.17
They have similar interests to me,Arabian,Women,4,0.2
They have similar interests to me,Arabian,Women,5,0.09
They have similar interests to me,Arabian,Women,6,0.14
They are good looking,Australian,Men,1,0.18
They are good looking,Australian,Men,2,0.13
They are good looking,Australian,Men,3,0.17
They are good looking,Australian,Men,4,0.19
They are good looking,Australian,Men,5,0.26
They are good looking,Australian,Men,6,0.08
They have a personality I like,Australian,Men,1,0.42
They have a personality I like,Australian,Men,2,0.23
They have a personality I like,Australian,Men,3,0.15
They have a personality I like,Australian,Men,4,0.09
They have a personality I like,Australian,Men,5,0.07
They have a personality I like,Australian,Men,6,0.03
They have a sense of humour I like,Australian,Men,1,0.1
They have a sense of humour I like,Australian,Men,2,0.27
They have a sense of humour I like,Australian,Men,3,0.27
They have a sense of humour I like,Australian,Men,4,0.18
They have a sense of humour I like,Australian,Men,5,0.14
They have a sense of humour I like,Australian,Men,6,0.03
They are intelligent,Australian,Men,1,0.14
They are intelligent,Australian,Men,2,0.16
They are intelligent,Australian,Men,3,0.2
They are intelligent,Australian,Men,4,0.25
They are intelligent,Australian,Men,5,0.18
They are intelligent,Australian,Men,6,0.06
They have/make a decent amount of money,Australian,Men,1,0.02
They have/make a decent amount of money,Australian,Men,2,0.03
They have/make a decent amount of money,Australian,Men,3,0.05
They have/make a decent amount of money,Australian,Men,4,0.06
They have/make a decent amount of money,Australian,Men,5,0.13
They have/make a decent amount of money,Australian,Men,6,0.7
They have similar interests to me,Australian,Men,1,0.13
They have similar interests to me,Australian,Men,2,0.18
They have similar interests to me,Australian,Men,3,0.15
They have similar interests to me,Australian,Men,4,0.22
They have similar interests to me,Australian,Men,5,0.22
They have similar interests to me,Australian,Men,6,0.09
They are good looking,Australian,Women,1,0.1
They are good looking,Australian,Women,2,0.07
They are good looking,Australian,Women,3,0.16
They are good looking,Australian,Women,4,0.12
They are good looking,Australian,Women,5,0.37
They are good looking,Australian,Women,6,0.19
They have a personality I like,Australian,Women,1,0.49
They have a personality I like,Australian,Women,2,0.24
They have a personality I like,Australian,Women,3,0.14
They have a personality I like,Australian,Women,4,0.08
They have a personality I like,Australian,Women,5,0.04
They have a personality I like,Australian,Women,6,0.02
They have a sense of humour I like,Australian,Women,1,0.15
They have a sense of humour I like,Australian,Women,2,0.32
They have a sense of humour I like,Australian,Women,3,0.24
They have a sense of humour I like,Australian,Women,4,0.16
They have a sense of humour I like,Australian,Women,5,0.08
They have a sense of humour I like,Australian,Women,6,0.05
They are intelligent,Australian,Women,1,0.1
They are intelligent,Australian,Women,2,0.19
They are intelligent,Australian,Women,3,0.2
They are intelligent,Australian,Women,4,0.27
They are intelligent,Australian,Women,5,0.19
They are intelligent,Australian,Women,6,0.05
They have/make a decent amount of money,Australian,Women,1,0.01
They have/make a decent amount of money,Australian,Women,2,0.03
They have/make a decent amount of money,Australian,Women,3,0.07
They have/make a decent amount of money,Australian,Women,4,0.11
They have/make a decent amount of money,Australian,Women,5,0.2
They have/make a decent amount of money,Australian,Women,6,0.59
They have similar interests to me,Australian,Women,1,0.15
They have similar interests to me,Australian,Women,2,0.15
They have similar interests to me,Australian,Women,3,0.2
They have similar interests to me,Australian,Women,4,0.25
They have similar interests to me,Australian,Women,5,0.14
They have similar interests to me,Australian,Women,6,0.11
They are good looking,British,Men,1,0.14
They are good looking,British,Men,2,0.15
They are good looking,British,Men,3,0.18
They are good looking,British,Men,4,0.2
They are good looking,British,Men,5,0.27
They are good looking,British,Men,6,0.06
They have a personality I like,British,Men,1,0.52
They have a personality I like,British,Men,2,0.23
They have a personality I like,British,Men,3,0.14
They have a personality I like,British,Men,4,0.05
They have a personality I like,British,Men,5,0.04
They have a personality I like,British,Men,6,0.02
They have a sense of humour I like,British,Men,1,0.13
They have a sense of humour I like,British,Men,2,0.32
They have a sense of humour I like,British,Men,3,0.25
They have a sense of humour I like,British,Men,4,0.21
